symbol,freq,prob,code,code_len
S00,34157,0.2846416666666667,10,2
S01,15645,0.130375,110,3
S02,10087,0.08405833333333333,1111,4
S03,7410,0.06175,0110,4
S04,5807,0.048391666666666666,0010,4
S05,4731,0.039425,0000,4
S06,4055,0.033791666666666664,01111,5
S07,3495,0.029125,01010,5
S08,3057,0.025475,00111,5
S09,2714,0.022616666666666667,00011,5
S10,2420,0.020166666666666666,111011,6
S11,2247,0.018725,111001,6
S12,2059,0.017158333333333334,011101,6
S13,1782,0.01485,010111,6
S14,1726,0.014383333333333333,010011,6
S15,1648,0.013733333333333334,010001,6
S16,1504,0.012533333333333334,001101,6
S17,1454,0.012116666666666666,001100,6
S18,1404,0.0117,000101,6
S19,1247,0.010391666666666667,000100,6
S20,1181,0.009841666666666667,1110101,7
S21,1116,0.0093,1110100,7
S22,1096,0.009133333333333334,1110001,7
S23,1013,0.008441666666666667,1110000,7
S24,985,0.008208333333333333,0111001,7
S25,933,0.007775,0111000,7
S28,878,0.007316666666666667,0101101,7
S27,873,0.007275,0101100,7
S26,872,0.007266666666666667,0100101,7
S29,817,0.006808333333333333,0100100,7
S30,800,0.006666666666666667,0100001,7
S31,787,0.0065583333333333335,0100000,7
